epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,63.5833,0.88762,2.01429,1.2555,0.688,0.68302,0.76687,0.53724,1.70215,1.63435,1.39276,2.82082e-05,2.82082e-05,2.82082e-05
40,65.1003,0.74375,1.102,1.09012,0.688,0.68302,0.76687,0.53724,1.70215,1.63435,1.39276,2.84911e-05,2.84911e-05,2.84911e-05
41,66.733,1.12221,2.0097,1.48851,0.60664,0.55549,0.65642,0.43155,1.71983,1.68838,1.39651,2.87504e-05,2.87504e-05,2.87504e-05
42,68.1961,0.87946,1.18239,1.26265,0.60664,0.55549,0.65642,0.43155,1.71983,1.68838,1.39651,2.89861e-05,2.89861e-05,2.89861e-05
43,69.7329,0.69354,0.83891,1.03886,0.62005,0.56865,0.6566,0.42349,1.7094,1.71534,1.39567,2.91983e-05,2.91983e-05,2.91983e-05
44,71.3239,0.84086,1.12067,1.21692,0.62005,0.56865,0.6566,0.42349,1.7094,1.71534,1.39567,2.93869e-05,2.93869e-05,2.93869e-05
45,73.0307,0.63641,0.97942,1.16452,0.60985,0.5,0.5858,0.36427,1.70127,1.75685,1.39709,2.9552e-05,2.9552e-05,2.9552e-05
46,74.4429,0.70642,0.94005,1.02802,0.60985,0.5,0.5858,0.36427,1.70127,1.75685,1.39709,2.96935e-05,2.96935e-05,2.96935e-05
47,76.1076,0.76064,0.97448,1.05969,0.60324,0.5,0.55442,0.33489,1.71455,1.81859,1.40584,2.98114e-05,2.98114e-05,2.98114e-05
48,77.669,0.71236,0.86413,1.15351,0.60324,0.5,0.55442,0.33489,1.71455,1.81859,1.40584,2.99058e-05,2.99058e-05,2.99058e-05
49,79.2447,1.01855,1.29668,1.4171,0.78421,0.50261,0.5282,0.30962,1.72884,1.86064,1.41524,2.99766e-05,2.99766e-05,2.99766e-05
50,80.8514,0.91367,1.59304,1.33537,0.78421,0.50261,0.5282,0.30962,1.72884,1.86064,1.41524,3.00238e-05,3.00238e-05,3.00238e-05
51,82.4041,0.67381,0.8611,1.11223,0.78861,0.49963,0.52825,0.31485,1.73179,1.89131,1.43154,3.00475e-05,3.00475e-05,3.00475e-05
52,83.9734,0.86468,1.81478,1.41312,0.78861,0.49963,0.52825,0.31485,1.73179,1.89131,1.43154,3.00476e-05,3.00476e-05,3.00476e-05
53,85.6081,0.86941,0.8174,1.28369,0.78861,0.49963,0.52825,0.31485,1.73179,1.89131,1.43154,3.00242e-05,3.00242e-05,3.00242e-05
